idx,AirGap_pred,AirGap_gt,err
615,696.8618,649.0,47.861816
616,695.9181,650.0,45.91809
617,696.8353,650.0,46.835327
618,698.86865,651.0,47.868652
619,697.6636,651.0,46.663574
620,694.8199,650.0,44.819885
621,697.20886,650.0,47.208862
622,697.74194,650.0,47.741943
623,697.6567,650.0,47.656677
624,696.5624,650.0,46.562378
625,698.28534,650.0,48.28534
626,698.5228,650.0,48.522827
627,697.4421,650.0,47.442078
628,695.15424,650.0,45.154236
629,697.5882,650.0,47.588196
630,698.6347,650.0,48.634705
631,698.4302,650.0,48.430176
632,697.2017,651.0,46.20172
633,698.02545,651.0,47.02545
634,698.74164,650.0,48.74164
635,697.7956,650.0,47.795593
636,696.0033,650.0,46.003296
637,698.23376,650.0,48.233765
638,699.1696,651.0,48.169617
639,698.02686,650.0,48.026855
640,696.04333,650.0,46.043335
641,697.64954,649.0,48.649536
642,698.10425,650.0,48.104248
643,697.3635,650.0,47.363525
644,696.26587,650.0,46.26587
645,698.5183,650.0,48.51831
646,699.1649,650.0,49.164917
647,697.21674,650.0,47.216736
648,694.90186,649.0,45.901855
649,697.82715,649.0,48.82715
650,699.5257,650.0,49.525696
651,698.0839,650.0,48.083923
652,696.92,650.0,46.919983
653,698.2468,650.0,48.246826
654,698.2994,650.0,48.299377
655,696.326,649.0,47.32599
656,695.19336,649.0,46.19336
657,698.4967,650.0,48.496704
658,699.4131,651.0,48.413086
659,696.49695,650.0,46.49695
660,695.94904,650.0,45.949036
661,697.0035,650.0,47.00348
662,698.5794,649.0,49.579407
663,697.1657,649.0,48.16571
664,695.82007,649.0,46.82007
665,698.1734,650.0,48.1734
666,699.0597,650.0,49.059692
667,695.9823,650.0,45.9823
668,695.7707,649.0,46.77069
669,697.31903,649.0,48.31903
670,698.05475,650.0,48.05475
671,697.2781,650.0,47.278076
672,695.45886,650.0,45.458862
673,697.7746,650.0,47.774597
674,698.48944,650.0,48.48944
675,696.1467,648.0,48.14673
676,696.6198,649.0,47.619812
677,697.81836,650.0,47.81836
678,698.9799,650.0,48.97992
679,697.2573,650.0,47.257324
680,695.03394,650.0,45.033936
681,696.8939,650.0,46.89392
682,698.62744,649.0,49.62744
683,697.47656,649.0,48.476562
684,697.4098,650.0,47.40979
685,698.0111,650.0,48.01111
686,698.39655,650.0,48.396545
687,696.93567,650.0,46.93567
688,694.453,649.0,45.453003
689,697.36084,649.0,48.36084
690,699.8336,649.0,50.83362
691,697.4943,650.0,47.494324
692,697.46484,650.0,47.464844
693,697.28125,650.0,47.28125
694,698.00806,650.0,48.008057
695,697.20337,649.0,48.20337
696,694.65735,648.0,46.65735
697,698.3064,650.0,48.306396
698,699.95355,650.0,49.953552
699,698.3104,650.0,48.310425
700,696.5919,650.0,46.59192
701,697.1992,649.0,48.19922
702,697.98486,649.0,48.984863
703,698.52405,648.0,50.524048
704,695.5943,650.0,45.5943
705,698.4803,650.0,48.480286
706,699.6648,650.0,49.664795
707,697.6055,650.0,47.60553
708,696.5042,649.0,47.50421
709,697.24774,648.0,49.24774
710,699.6434,649.0,50.64337
711,699.43024,650.0,49.430237
712,694.7608,650.0,44.760803
713,697.94885,650.0,47.948853
714,699.93756,649.0,50.93756
715,698.9517,648.0,50.95172
716,697.5937,649.0,48.59369
717,698.6084,649.0,49.6084
718,699.26227,650.0,49.262268
719,698.4458,650.0,48.4458
720,694.819,650.0,44.81897
721,697.7073,650.0,47.707275
722,699.8848,648.0,51.884827
723,699.89825,649.0,50.898254
724,699.0413,649.0,50.04132
725,698.55347,650.0,48.553467
726,699.948,650.0,49.947998
727,698.9734,650.0,48.97339
728,694.9271,648.0,46.927124
729,698.21875,648.0,50.21875
730,700.5201,649.0,51.52008
731,700.56116,650.0,50.561157
732,698.3113,650.0,48.31128
733,697.83276,650.0,47.832764
734,698.08496,650.0,48.08496
735,698.2377,649.0,49.23767
736,694.90497,648.0,46.90497
737,697.65765,648.0,49.657654
738,699.6419,650.0,49.641907
739,698.1943,650.0,48.194275
740,697.22095,650.0,47.220947
741,696.50635,648.0,48.506348
742,698.1321,649.0,49.13208
743,698.69336,648.0,50.69336
744,694.8148,649.0,45.81482
745,696.6729,650.0,46.672913
746,697.992,650.0,47.992004
747,698.377,650.0,48.377014
748,697.253,649.0,48.25299
