Current,dCurrent,B,dB,Voltage,CurrentSmallSig,dCurrentSmallSig,AirGap
259.0,-1.0,575.0,-3.0,6200.0,-6.0,-1.0,651.0
258.0,-1.0,578.0,3.0,6200.0,-7.0,-1.0,651.0
266.0,8.0,584.0,6.0,6300.0,-5.0,2.0,651.0
267.0,1.0,585.0,1.0,5900.0,0.0,5.0,651.0
269.0,2.0,583.0,-2.0,5800.0,1.0,1.0,651.0
263.0,-6.0,581.0,-2.0,5700.0,-3.0,-4.0,651.0
259.0,-4.0,575.0,-6.0,6000.0,-4.0,-1.0,651.0
257.0,-2.0,576.0,1.0,6200.0,-10.0,-6.0,650.0
262.0,5.0,581.0,5.0,6400.0,-1.0,9.0,651.0
270.0,8.0,584.0,3.0,6100.0,-7.0,-6.0,652.0
270.0,0.0,585.0,1.0,5500.0,1.0,8.0,652.0
267.0,-3.0,583.0,-2.0,5500.0,-1.0,-2.0,651.0
262.0,-5.0,579.0,-4.0,5800.0,-4.0,-3.0,651.0
257.0,-5.0,575.0,-4.0,6100.0,-2.0,2.0,650.0
264.0,7.0,577.0,2.0,6500.0,-8.0,-6.0,650.0
263.0,-1.0,581.0,4.0,6100.0,-2.0,6.0,650.0
268.0,5.0,585.0,4.0,6100.0,-3.0,-1.0,652.0
266.0,-2.0,584.0,-1.0,5600.0,2.0,5.0,651.0
265.0,-1.0,582.0,-2.0,5900.0,-2.0,-4.0,651.0
260.0,-5.0,579.0,-3.0,5900.0,-5.0,-3.0,651.0
